adm1id,admname,category,catid,cmid,cmname,cmnameshort,country,currency,date,default,interpolated,label,mktid,mktname,price,ptid,scaling,sn,umid,unit,x,year
#adm1+code,#adm1+name,#item+type,#item+type+code,#item+code,#item+name,#item+name+short,#country+name,#currency,#date,,,#item+label,,#name+market,#value,,,#meta+id,,#item+unit,,0
2747,,pulses and nuts,5,78,Beans (red) - Retail,Beans red,South Sudan,SSP,12/15/2018,,0,Beans (red) - Retail (KG),1385,Bentiu,334,15,1,1385_78_15_5,5,KG,1544832000,2018
,,pulses and nuts,5,78,Beans (red) - Retail,Beans red,,,1/15/2019,,1,Beans (red) - Retail (KG),,,356.7333333,,1,,,KG,,
2746,,pulses and nuts,5,78,Beans (red) - Retail,Beans red,South Sudan,SSP,3/15/2019,,0,Beans (red) - Retail (KG),1390,Rumbek,400,15,1,1390_78_15_5,5,KG,1552608000,2019
2746,,pulses and nuts,5,78,Beans (red) - Retail,Beans red,South Sudan,SSP,4/15/2019,,0,Beans (red) - Retail (KG),2241,Mingkaman,350,15,1,2241_78_15_5,5,KG,1555286400,2019
2746,,pulses and nuts,5,78,Beans (red) - Retail,Beans red,South Sudan,SSP,7/15/2019,,0,Beans (red) - Retail (KG),1390,Rumbek,400,15,1,1390_78_15_5,5,KG,1563148800,2019
2746,,pulses and nuts,5,78,Beans (red) - Retail,Beans red,South Sudan,SSP,8/15/2019,,0,Beans (red) - Retail (KG),1390,Rumbek,420,15,1,1390_78_15_5,5,KG,1565827200,2019
2746,,pulses and nuts,5,78,Beans (red) - Retail,Beans red,South Sudan,SSP,9/15/2019,,0,Beans (red) - Retail (KG),1390,Rumbek,450,15,1,1390_78_15_5,5,KG,1568505600,2019
2754,,pulses and nuts,5,78,Beans (red) - Retail,Beans red,South Sudan,SSP,10/15/2019,,0,Beans (red) - Retail (KG),1384,Aweil (Town),465,15,1,1384_78_15_5,5,KG,1571097600,2019
2754,,pulses and nuts,5,78,Beans (red) - Retail,Beans red,South Sudan,SSP,11/15/2019,,0,Beans (red) - Retail (KG),1384,Aweil (Town),495,15,1,1384_78_15_5,5,KG,1573776000,2019
2768,,pulses and nuts,5,78,Beans (red) - Retail,Beans red,South Sudan,SSP,12/15/2019,,0,Beans (red) - Retail (KG),2239,Yambio,475,15,1,2239_78_15_5,5,KG,1576368000,2019
2748,,pulses and nuts,5,78,Beans (red) - Retail,Beans red,South Sudan,SSP,1/15/2020,,0,Beans (red) - Retail (KG),1388,Konyo Konyo,500,15,1,1388_78_15_5,5,KG,1579046400,2020
2746,,pulses and nuts,5,78,Beans (red) - Retail,Beans red,South Sudan,SSP,2/15/2020,,0,Beans (red) - Retail (KG),1390,Rumbek,475,15,1,1390_78_15_5,5,KG,1581724800,2020
2748,,pulses and nuts,5,78,Beans (red) - Retail,Beans red,South Sudan,SSP,3/15/2020,,0,Beans (red) - Retail (KG),1388,Konyo Konyo,600,15,1,1388_78_15_5,5,KG,1584230400,2020
,,cereals and tubers,1,68,Cassava - Retail,Cassava,,,1/15/2015,,1,Cassava - Retail (3.5 KG),,,15.7,,1,,,3.5 KG,,
,,cereals and tubers,1,68,Cassava - Retail,Cassava,,,2/15/2015,,1,Cassava - Retail (3.5 KG),,,15.7,,1,,,3.5 KG,,
,,cereals and tubers,1,68,Cassava - Retail,Cassava,,,3/15/2015,,1,Cassava - Retail (3.5 KG),,,15.7,,1,,,3.5 KG,,
,,cereals and tubers,1,68,Cassava - Retail,Cassava,,,4/15/2015,,1,Cassava - Retail (3.5 KG),,,15.7,,1,,,3.5 KG,,
2748,,cereals and tubers,1,68,Cassava - Retail,Cassava,South Sudan,SSP,5/15/2015,,0,Cassava - Retail (3.5 KG),1388,Konyo Konyo,15.7,15,1,1388_68_15_47,47,3.5 KG,1431648000,2015
2748,,cereals and tubers,1,68,Cassava - Retail,Cassava,South Sudan,SSP,6/15/2015,,0,Cassava - Retail (3.5 KG),1388,Konyo Konyo,20,15,1,1388_68_15_47,47,3.5 KG,1434326400,2015
2766,,cereals and tubers,1,68,Cassava - Retail,Cassava,South Sudan,SSP,7/15/2015,,0,Cassava - Retail (3.5 KG),1391,Jau,18,15,1,1391_68_15_47,47,3.5 KG,1436918400,2015
2766,,cereals and tubers,1,68,Cassava - Retail,Cassava,South Sudan,SSP,8/15/2015,,0,Cassava - Retail (3.5 KG),1391,Jau,18,15,1,1391_68_15_47,47,3.5 KG,1439596800,2015
2766,,cereals and tubers,1,68,Cassava - Retail,Cassava,South Sudan,SSP,9/15/2015,,0,Cassava - Retail (3.5 KG),1391,Jau,17,15,1,1391_68_15_47,47,3.5 KG,1442275200,2015
2754,,cereals and tubers,1,68,Cassava - Retail,Cassava,South Sudan,SSP,10/15/2015,,0,Cassava - Retail (3.5 KG),1384,Aweil (Town),23.8,15,1,1384_68_15_47,47,3.5 KG,1444867200,2015
2766,,cereals and tubers,1,68,Cassava - Retail,Cassava,South Sudan,SSP,11/15/2015,,0,Cassava - Retail (3.5 KG),1391,Jau,23.2,15,1,1391_68_15_47,47,3.5 KG,1447545600,2015
2766,,cereals and tubers,1,68,Cassava - Retail,Cassava,South Sudan,SSP,12/15/2015,,0,Cassava - Retail (3.5 KG),1391,Jau,30,15,1,1391_68_15_47,47,3.5 KG,1450137600,2015
2766,,cereals and tubers,1,68,Cassava - Retail,Cassava,South Sudan,SSP,1/15/2016,,0,Cassava - Retail (3.5 KG),1391,Jau,42,15,1,1391_68_15_47,47,3.5 KG,1452816000,2016
2754,,cereals and tubers,1,68,Cassava - Retail,Cassava,South Sudan,SSP,2/15/2016,,0,Cassava - Retail (3.5 KG),1384,Aweil (Town),50,15,1,1384_68_15_47,47,3.5 KG,1455494400,2016
2748,,cereals and tubers,1,68,Cassava - Retail,Cassava,South Sudan,SSP,3/15/2016,,0,Cassava - Retail (3.5 KG),1388,Konyo Konyo,49.25,15,1,1388_68_15_47,47,3.5 KG,1458000000,2016
2754,,cereals and tubers,1,68,Cassava - Retail,Cassava,South Sudan,SSP,4/15/2016,,0,Cassava - Retail (3.5 KG),1384,Aweil (Town),40,15,1,1384_68_15_47,47,3.5 KG,1460678400,2016
2748,,cereals and tubers,1,68,Cassava - Retail,Cassava,South Sudan,SSP,5/15/2016,,0,Cassava - Retail (3.5 KG),1388,Konyo Konyo,54.7,15,1,1388_68_15_47,47,3.5 KG,1463270400,2016
,,cereals and tubers,1,68,Cassava - Retail,Cassava,,,6/15/2016,,1,Cassava - Retail (3.5 KG),,,62.47540984,,1,,,3.5 KG,,
2748,,cereals and tubers,1,68,Cassava - Retail,Cassava,South Sudan,SSP,7/15/2016,,0,Cassava - Retail (3.5 KG),1388,Konyo Konyo,70,15,1,1388_68_15_47,47,3.5 KG,1468540800,2016
2766,,cereals and tubers,1,68,Cassava - Retail,Cassava,South Sudan,SSP,8/15/2016,,0,Cassava - Retail (3.5 KG),1391,Jau,172.3333,15,1,1391_68_15_47,47,3.5 KG,1471219200,2016
,,cereals and tubers,1,68,Cassava - Retail,Cassava,,,9/15/2016,,1,Cassava - Retail (3.5 KG),,,154.6311311,,1,,,3.5 KG,,
2748,,cereals and tubers,1,68,Cassava - Retail,Cassava,South Sudan,SSP,10/15/2016,,0,Cassava - Retail (3.5 KG),1388,Konyo Konyo,137.5,15,1,1388_68_15_47,47,3.5 KG,1476489600,2016
2766,,cereals and tubers,1,68,Cassava - Retail,Cassava,South Sudan,SSP,11/15/2016,,0,Cassava - Retail (3.5 KG),1391,Jau,170,15,1,1391_68_15_47,47,3.5 KG,1479168000,2016
2766,,cereals and tubers,1,68,Cassava - Retail,Cassava,South Sudan,SSP,12/15/2016,,0,Cassava - Retail (3.5 KG),1391,Jau,166,15,1,1391_68_15_47,47,3.5 KG,1481760000,2016
2748,,cereals and tubers,1,68,Cassava - Retail,Cassava,South Sudan,SSP,1/15/2017,,0,Cassava - Retail (3.5 KG),1388,Konyo Konyo,250,15,1,1388_68_15_47,47,3.5 KG,1484438400,2017
2766,,cereals and tubers,1,68,Cassava - Retail,Cassava,South Sudan,SSP,2/15/2017,,0,Cassava - Retail (3.5 KG),1391,Jau,243,15,1,1391_68_15_47,47,3.5 KG,1487116800,2017
2766,,cereals and tubers,1,68,Cassava - Retail,Cassava,South Sudan,SSP,3/15/2017,,0,Cassava - Retail (3.5 KG),1391,Jau,251,15,1,1391_68_15_47,47,3.5 KG,1489536000,2017
2766,,cereals and tubers,1,68,Cassava - Retail,Cassava,South Sudan,SSP,4/15/2017,,0,Cassava - Retail (3.5 KG),1391,Jau,226.7,15,1,1391_68_15_47,47,3.5 KG,1492214400,2017
2766,,cereals and tubers,1,68,Cassava - Retail,Cassava,South Sudan,SSP,5/15/2017,,0,Cassava - Retail (3.5 KG),1391,Jau,250,15,1,1391_68_15_47,47,3.5 KG,1494806400,2017
2750,,cereals and tubers,1,68,Cassava - Retail,Cassava,South Sudan,SSP,6/15/2017,,0,Cassava - Retail (3.5 KG),1786,Torit,285,15,1,1786_68_15_47,47,3.5 KG,1497484800,2017
2748,,cereals and tubers,1,68,Cassava - Retail,Cassava,South Sudan,SSP,7/15/2017,,0,Cassava - Retail (3.5 KG),1388,Konyo Konyo,388,15,1,1388_68_15_47,47,3.5 KG,1500076800,2017
2766,,cereals and tubers,1,68,Cassava - Retail,Cassava,South Sudan,SSP,8/15/2017,,0,Cassava - Retail (3.5 KG),1391,Jau,375,15,1,1391_68_15_47,47,3.5 KG,1502755200,2017
,,cereals and tubers,1,68,Cassava - Retail,Cassava,,,9/15/2017,,1,Cassava - Retail (3.5 KG),,,311.4754098,,1,,,3.5 KG,,
