admin0,admin2,Year,Month,NDVI,NDVI_lag1
South Sudan,yambio,2003,Jan,0.4446602333333330,0.5583078333333330
South Sudan,yambio,2003,Feb,0.4598911666666670,0.4446602333333330
South Sudan,yambio,2003,Mar,0.511859,0.4598911666666670
South Sudan,yambio,2003,Apr,0.6188615666666670,0.511859
South Sudan,yambio,2003,May,0.7563701000000000,0.6188615666666670
South Sudan,yambio,2003,Jun,0.8048348666666670,0.7563701000000000
South Sudan,yambio,2003,Jul,0.8143802333333330,0.8048348666666670
South Sudan,yambio,2003,Aug,0.8070547666666670,0.8143802333333330
South Sudan,yambio,2003,Sep,0.7932847666666670,0.8070547666666670
South Sudan,yambio,2003,Oct,0.7347859,0.7932847666666670
South Sudan,yambio,2003,Nov,0.6693461333333330,0.7347859
South Sudan,yambio,2003,Dec,0.5602699333333330,0.6693461333333330
South Sudan,yambio,2004,Jan,0.43721950000000000,0.5602699333333330
South Sudan,yambio,2004,Feb,0.4700647,0.43721950000000000
South Sudan,yambio,2004,Mar,0.4954707333333330,0.4700647
South Sudan,yambio,2004,Apr,0.6093715,0.4954707333333330
South Sudan,yambio,2004,May,0.773241,0.6093715
South Sudan,yambio,2004,Jun,0.8201694000000000,0.773241
South Sudan,yambio,2004,Jul,0.7999534666666670,0.8201694000000000
South Sudan,yambio,2004,Aug,0.7928318666666670,0.7999534666666670
South Sudan,yambio,2004,Sep,0.7799794333333330,0.7928318666666670
South Sudan,yambio,2004,Oct,0.7485154333333330,0.7799794333333330
South Sudan,yambio,2004,Nov,0.6735778,0.7485154333333330
South Sudan,yambio,2004,Dec,0.5336041333333330,0.6735778
South Sudan,yambio,2005,Jan,0.39271626666666700,0.5336041333333330
South Sudan,yambio,2005,Feb,0.3855417333333330,0.39271626666666700
South Sudan,yambio,2005,Mar,0.4539588666666670,0.3855417333333330
South Sudan,yambio,2005,Apr,0.5655948333333330,0.4539588666666670
South Sudan,yambio,2005,May,0.7665041333333330,0.5655948333333330
South Sudan,yambio,2005,Jun,0.8011708,0.7665041333333330
South Sudan,yambio,2005,Jul,0.8025480666666670,0.8011708
South Sudan,yambio,2005,Aug,0.8226967333333330,0.8025480666666670
South Sudan,yambio,2005,Sep,0.7845571000000000,0.8226967333333330
South Sudan,yambio,2005,Oct,0.7631545666666670,0.7845571000000000
South Sudan,yambio,2005,Nov,0.6357560333333330,0.7631545666666670
South Sudan,yambio,2005,Dec,0.46513350000000000,0.6357560333333330
South Sudan,yambio,2006,Jan,0.41625440000000000,0.46513350000000000
South Sudan,yambio,2006,Feb,0.4280055333333330,0.41625440000000000
South Sudan,yambio,2006,Mar,0.4592285333333330,0.4280055333333330
South Sudan,yambio,2006,Apr,0.5931335000000000,0.4592285333333330
South Sudan,yambio,2006,May,0.7271899333333330,0.5931335000000000
South Sudan,yambio,2006,Jun,0.8116433666666670,0.7271899333333330
South Sudan,yambio,2006,Jul,0.7756228666666670,0.8116433666666670
South Sudan,yambio,2006,Aug,0.7852081000000000,0.7756228666666670
South Sudan,yambio,2006,Sep,0.8031454,0.7852081000000000
South Sudan,yambio,2006,Oct,0.7452577000000000,0.8031454
South Sudan,yambio,2006,Nov,0.6655517333333330,0.7452577000000000
South Sudan,yambio,2006,Dec,0.5561421333333330,0.6655517333333330
South Sudan,yambio,2007,Jan,0.41154946666666700,0.5561421333333330
South Sudan,yambio,2007,Feb,0.4030109333333330,0.41154946666666700
South Sudan,yambio,2007,Mar,0.4791378666666670,0.4030109333333330
South Sudan,yambio,2007,Apr,0.6023006000000000,0.4791378666666670
South Sudan,yambio,2007,May,0.7823205,0.6023006000000000
South Sudan,yambio,2007,Jun,0.8006596333333330,0.7823205
South Sudan,yambio,2007,Jul,0.7575336333333330,0.8006596333333330
South Sudan,yambio,2007,Aug,0.8269333666666670,0.7575336333333330
South Sudan,yambio,2007,Sep,0.8093616333333330,0.8269333666666670
South Sudan,yambio,2007,Oct,0.7527319666666670,0.8093616333333330
South Sudan,yambio,2007,Nov,0.6921998333333330,0.7527319666666670
South Sudan,yambio,2007,Dec,0.5715196333333330,0.6921998333333330
South Sudan,yambio,2008,Jan,0.43257606666666700,0.5715196333333330
South Sudan,yambio,2008,Feb,0.4413606666666670,0.43257606666666700
South Sudan,yambio,2008,Mar,0.5255741666666670,0.4413606666666670
South Sudan,yambio,2008,Apr,0.6732307333333330,0.5255741666666670
South Sudan,yambio,2008,May,0.8092668,0.6732307333333330
South Sudan,yambio,2008,Jun,0.8307664333333330,0.8092668
South Sudan,yambio,2008,Jul,0.7990525,0.8307664333333330
South Sudan,yambio,2008,Aug,0.8072074000000000,0.7990525
South Sudan,yambio,2008,Sep,0.7933044666666670,0.8072074000000000
South Sudan,yambio,2008,Oct,0.7447343000000000,0.7933044666666670
South Sudan,yambio,2008,Nov,0.6584879333333330,0.7447343000000000
South Sudan,yambio,2008,Dec,0.5262547,0.6584879333333330
South Sudan,yambio,2009,Jan,0.4324953,0.5262547
South Sudan,yambio,2009,Feb,0.5123053666666670,0.4324953
South Sudan,yambio,2009,Mar,0.5929484666666670,0.5123053666666670
South Sudan,yambio,2009,Apr,0.6819694333333330,0.5929484666666670
South Sudan,yambio,2009,May,0.7705881333333330,0.6819694333333330
South Sudan,yambio,2009,Jun,0.8068014333333330,0.7705881333333330
South Sudan,yambio,2009,Jul,0.8161099333333330,0.8068014333333330
South Sudan,yambio,2009,Aug,0.7983780333333330,0.8161099333333330
South Sudan,yambio,2009,Sep,0.7711615666666670,0.7983780333333330
South Sudan,yambio,2009,Oct,0.72397,0.7711615666666670
South Sudan,yambio,2009,Nov,0.6547551666666670,0.72397
South Sudan,yambio,2009,Dec,0.5085130333333330,0.6547551666666670
South Sudan,yambio,2010,Jan,0.42525523333333300,0.5085130333333330
South Sudan,yambio,2010,Feb,0.48594030000000000,0.42525523333333300
South Sudan,yambio,2010,Mar,0.5473906333333330,0.48594030000000000
South Sudan,yambio,2010,Apr,0.632337,0.5473906333333330
South Sudan,yambio,2010,May,0.7646545000000000,0.632337
South Sudan,yambio,2010,Jun,0.8068248000000000,0.7646545000000000
South Sudan,yambio,2010,Jul,0.7811316333333340,0.8068248000000000
South Sudan,yambio,2010,Aug,0.7909951333333330,0.7811316333333340
South Sudan,yambio,2010,Sep,0.7687176333333330,0.7909951333333330
South Sudan,yambio,2010,Oct,0.7335390666666670,0.7687176333333330
South Sudan,yambio,2010,Nov,0.7004961333333330,0.7335390666666670
South Sudan,yambio,2010,Dec,0.5916309000000000,0.7004961333333330
South Sudan,yambio,2011,Jan,0.4414864,0.5916309000000000
South Sudan,yambio,2011,Feb,0.41861546666666700,0.4414864
South Sudan,yambio,2011,Mar,0.49143280000000000,0.41861546666666700
South Sudan,yambio,2011,Apr,0.5900845333333330,0.49143280000000000
South Sudan,yambio,2011,May,0.7331305333333330,0.5900845333333330
South Sudan,yambio,2011,Jun,0.8290114000000000,0.7331305333333330
South Sudan,yambio,2011,Jul,0.7796991666666670,0.8290114000000000
South Sudan,yambio,2011,Aug,0.7730635333333330,0.7796991666666670
