State,,Central Equatoria,Central Equatoria,Central Equatoria,Central Equatoria,Central Equatoria,Central Equatoria,Central Equatoria,Central Equatoria,Central Equatoria,Central Equatoria,Eastern Equatoria,Eastern Equatoria,Eastern Equatoria,Eastern Equatoria,Eastern Equatoria,Eastern Equatoria,Eastern Equatoria,Eastern Equatoria,Eastern Equatoria,Eastern Equatoria,Eastern Equatoria,Eastern Equatoria,Eastern Equatoria,Eastern Equatoria,Eastern Equatoria,Eastern Equatoria,Eastern Equatoria,Eastern Equatoria,Jonglei,Jonglei,Jonglei,Jonglei,Jonglei,Jonglei,Jonglei,Jonglei,Jonglei,Jonglei,Jonglei,Jonglei,Lakes,Lakes,Lakes,Lakes,Lakes,Lakes,Lakes,Lakes,Northern Bahr el Ghazal,Northern Bahr el Ghazal,Northern Bahr el Ghazal,Northern Bahr el Ghazal,Northern Bahr el Ghazal,Northern Bahr el Ghazal,Northern Bahr el Ghazal,Northern Bahr el Ghazal,Northern Bahr el Ghazal,Northern Bahr el Ghazal,Northern Bahr el Ghazal,Northern Bahr el Ghazal,Northern Bahr el Ghazal,Northern Bahr el Ghazal,Unity,Unity,Unity,Unity,Unity,Unity,Upper Nile,Upper Nile,Upper Nile,Upper Nile,Upper Nile,Warrap,Warrap,Warrap,Warrap,Warrap,Warrap,Warrap,Western Bahr el Ghazal,Western Bahr el Ghazal,Western Bahr el Ghazal,Western Bahr el Ghazal,Western Bahr el Ghazal,Western Bahr el Ghazal,Western Bahr el Ghazal,Western Bahr el Ghazal,Western Bahr el Ghazal,Western Bahr el Ghazal,Western Equatoria,Western Equatoria,Western Equatoria,Western Equatoria,Western Equatoria,Western Equatoria,Western Equatoria,Western Equatoria,Western Equatoria
2010,Nov,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,2,2,,,,,,,,,
2010,Oct,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,2,2,,,,,,,,,
2010,Sep,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,2,2,,,,,,,,,
2011,Apr,,,,,,,,,,,,,,,,,,,,,,,,,,,5,5,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,2,2,2,2,,,,,,,,,
2011,Aug,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,3,3,3,3,,,,,,,,,
2011,Dec,,,,,,,,,,,,,,,,,,,,,,,,,,,5,5,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,0,0,0,0,,,,,,,,,
2011,Feb,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,2,2,2,2,,,,,,,,,
2011,Jan,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,2,2,2,2,,,,,,,,,
2011,Jul,,,,,,,,,,,,,,,,,,,,,,,,,,,5,5,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,3,3,3,3,,,,,,,,,
2011,Jun,,,,,,,,,,,,,,,,,,,,,,,,,,,5,5,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,4,4,4,4,,,,,,,,,
2011,Mar,,,,,,,,,,,,,,,,,,,,,,,,,,,5,5,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,2,2,2,2,,,,,,,,,
2011,May,,,,,,,,,,,,,,,,,,,,,,,,,,,5,5,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,2,2,2,2,,,,,,,,,
2011,Nov,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,5,5,5,5,,,,,,,,,
2011,Oct,,,,,,,,,,,,,,,,,,,,,,,,,,,5,5,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,,,,,,,,,,5,5,5,5,,,,,,,,,
2011,Sep,,,,,,,,,,,,,,,,,,,,,,,,,,,4,4,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,5,5,5,5,,,,,,,,,
2012,Apr,4,4,4,4,0,,0,0,7,0,4,,,,,4,4,4,,,,,4,4,4,4,4,4,,0,8,8,8,8,,,0,7,7,7,,3,3,3,3,7,7,,,,6,6,,6,0,0,0,0,6,6,6,6,,,,,,,,4,,,,,0,0,0,,,,,,,,,4,4,4,4,4,,0,0,,0,,0,0,0
2012,Aug,10,10,10,10,10,,6,6,10,6,8,,,,,8,8,8,,,,,8,8,8,8,9,9,,0,0,0,0,0,,,0,0,0,0,,4,4,4,4,0,0,,,,6,6,,6,0,0,0,0,6,6,6,6,,,,,,,,8,,,,,9,9,9,,,,,,,,,8,8,8,8,8,,6,6,,10,,6,0,6
2012,Dec,6,6,6,6,6,,0,0,6,0,0,,,,,0,0,0,,,,,6,6,6,6,6,6,,0,0,0,0,0,,,0,0,0,0,,0,0,0,4,0,0,,,,2,2,,2,2,2,2,2,4,4,4,4,,,,,,,,6,,,,,5,5,5,,,,,,,,,0,0,0,0,0,,4,4,,6,,4,0,4
2012,Feb,0,0,0,0,0,,0,0,0,0,0,,,,,0,0,0,,,,,0,0,0,0,0,0,,0,0,0,0,0,,,0,0,0,0,,2,2,2,2,0,0,,,,6,6,,6,0,0,0,0,6,6,6,6,,,,,,,,0,,,,,0,0,0,,,,,,,,,3,3,3,3,3,,2,2,,0,,2,0,2
2012,Jan,4,4,4,4,0,,0,0,0,0,4,,,,,4,4,4,,,,,4,4,4,4,4,4,,0,0,0,0,0,,,0,0,0,0,,0,0,0,0,0,0,,,,0,0,,0,0,0,0,0,0,0,0,0,,,,,,,,4,,,,,0,0,0,,,,,,,,,4,4,4,4,4,,0,0,,0,,0,0,0
2012,Jul,0,0,0,0,0,,0,0,0,0,0,,,,,0,0,0,,,,,0,0,0,0,0,0,,0,0,0,0,0,,,0,0,0,0,,0,0,0,0,0,0,,,,6,6,,6,0,0,0,0,6,6,6,6,,,,,,,,0,,,,,0,0,0,,,,,,,,,8,8,8,8,8,,0,0,,0,,0,0,0
