state,ea,weight,hh,hhsize,index,own_pre,owntotal_pre,yearp,vintage,price_pre,curr_pre,conv2ssp,own_post,owntotal_post,price_post,curr_post,drate,drate_median,cons_d,cons_d_weekly,cons_d_daily,cons_d_daily_pc
"Northern Bahr El Ghazal",2,454.05,4,5,"Motorcycle/motor","Yes",1,2013,3,3700,"SSP",4.27,"Yes",1,1500,"SSP",.26357173,.1220638,292.3152,5.602209,.8003155,.1600631
"Northern Bahr El Ghazal",2,454.05,5,5,"Mattress or bed","Yes",2,2014,2,23,"SSP",4.66,"Yes",3,20,"SSP",.07213452,.0959599,67.43724,1.292432,.1846331,.0369266
"Northern Bahr El Ghazal",2,454.05,5,5,"Hoe, spade or axe",,0,2015,1,20,"SSP",9.91,"Yes",2,15,"SSP",.25373134,.1229538,8.823712,.1691061,.024158,.0048316
"Northern Bahr El Ghazal",2,454.05,5,5,"Mosquito net","Yes",2,2014,2,15,"SSP",4.66,"Yes",3,12,"SSP",.1100227,.1100227,9.297644,.1781889,.0254556,.0050911
"Northern Bahr El Ghazal",2,454.05,5,5,"Bicycle",,0,2010,6,280,"SSP",2.31,"Yes",1,250,"SSP",.02359289,.0406045,23.48737,.4501345,.0643049,.012861
"Northern Bahr El Ghazal",2,454.05,5,5,"Mobile phone",,0,2014,2,110,"SSP",4.66,"Yes",1,100,"SSP",.05128101,.2133638,33.26828,.6375851,.0910836,.0182167
"Northern Bahr El Ghazal",2,454.05,6,7,"Motorcycle/motor","Yes",1,2013,3,3650,,,"Yes",1,3000,,.06794101,.1220638,584.6305,11.20442,1.600631,.2286616
"Northern Bahr El Ghazal",2,454.05,6,7,"Hoe, spade or axe","Yes",2,2012,4,24,"SSP",4.45,"Yes",2,5,"SSP",.32776112,.1229538,5.882475,.1127374,.0161053,.0023008
"Northern Bahr El Ghazal",2,454.05,6,7,"Mattress or bed","Yes",3,2009,7,75,"SSP",2.32,"Yes",3,45,"SSP",.07500101,.0959599,48.97228,.9385516,.1340788,.0191541
"Northern Bahr El Ghazal",2,454.05,8,9,"Hoe, spade or axe","Yes",3,2013,3,20,"SSP",4.27,"Yes",3,15,"SSP",.0959599,.1229538,10.78454,.2066852,.0295265,.0032807
"Northern Bahr El Ghazal",2,454.05,8,9,"Mattress or bed","Yes",3,2011,5,50,"SSP",3.55,"Yes",3,100,"SSP",.0959599,.0959599,64.22594,1.230887,.175841,.0195379
