data_id,iso,event_id_cnty,event_id_no_cnty,event_date,year,time_precision,event_type,sub_event_type,actor1,assoc_actor_1,inter1,actor2,assoc_actor_2,inter2,interaction,region,country,admin1,admin2,admin3,location,latitude,longitude,geo_precision,source,source_scale,notes,fatalities,timestamp,iso3
6312118,728,SSD1033,1033,"17 March 2014",2014,1,Battles,"Armed clash","Unidentified Communal Militia (South Sudan)",,4,"Military Forces of South Sudan (2011-)","Police Forces of South Sudan (2011-)",1,14,"Eastern Africa","South Sudan",Lakes,"Rumbek Centre",Kuei,Rumbek,6.819,29.7,2,"Sudan Tribune",Regional,"Fighting between herder militia and SPLA/SPSS in Roornhom village, Kuel-Kuac. The area is southwest of Rumbek. 2 soldiers were killed. Cattle were stolen.",2,1572403782,SSD
6973376,728,SSD1030,1030,"16 March 2014",2014,1,Battles,"Armed clash","SPLM-In Opposition: Sudan People's Liberation Movement-In Opposition",,2,"Military Forces of South Sudan (2011-)",,1,12,"Eastern Africa","South Sudan","Upper Nile",Malakal,Obwa,Malakal,9.541,31.652,1,"Anadolu Agency; Sudan Tribune",Regional-International,"Fighting in Malakal continues. Fighting also reported in Makal, just north of Malakal.",0,1583194165,SSD
6973377,728,SSD1031,1031,"16 March 2014",2014,1,Battles,"Armed clash","SPLM-In Opposition: Sudan People's Liberation Movement-In Opposition",,2,"Duk Youth Militia (South Sudan)",,3,23,"Eastern Africa","South Sudan",Jonglei,Duk,"Duk Padiet","Duk Fadiat",7.7508,31.4087,1,"SSBC TV; Anadolu Agency",National-International,"In Palouch and surrounding areas, Duk County, fighting broke out between youth and opposition forces for three days. Deaths: Friday - 17 opposition, 6 youth; Sunday - 9 opposition, 3 youths.",12,1583194165,SSD
6974388,728,SSD1028,1028,"15 March 2014",2014,1,Battles,"Armed clash","SPLM-In Opposition: Sudan People's Liberation Movement-In Opposition",,2,"Military Forces of South Sudan (2011-)",,1,12,"Eastern Africa","South Sudan",Jonglei,"Bor South",Bor,Bor,6.2089,31.5586,2,"Anadolu Agency",International,"Fighting broke out in Jonglei after Col Gatkek Colchik denounced the rebellion and attacked Peter Gadets forces.",0,1583194169,SSD
6312374,728,SSD1027,1027,"15 March 2014",2014,1,Protests,"Peaceful protest","Protesters (South Sudan)",,6,,,0,60,"Eastern Africa","South Sudan","Eastern Equatoria",Magwi,Pageri,Nimule,3.6019,32.0831,1,"Sudan Tribune",Regional,"The Madi of Nimule protested against IDPs from Jonglei being allowed to remain in Nimule.",0,1572403783,SSD
6973375,728,SSD1029,1029,"15 March 2014",2014,1,Battles,"Armed clash","SPLM-In Opposition: Sudan People's Liberation Movement-In Opposition",,2,"Duk Youth Militia (South Sudan)",,3,23,"Eastern Africa","South Sudan",Jonglei,Duk,"Duk Padiet","Duk Fadiat",7.7508,31.4087,1,"SSBC TV; Anadolu Agency",National-International,"In Palouch and surrounding areas, Duk County, fighting broke out between youth and opposition forces for three days. Deaths: Friday - 17 opposition, 6 youth; Sunday - 9 opposition, 3 youths.",0,1583194165,SSD
6976588,728,SSD1023,1023,"14 March 2014",2014,2,Battles,"Armed clash","SPLM-In Opposition: Sudan People's Liberation Movement-In Opposition",,2,"Military Forces of South Sudan (2011-)",,1,12,"Eastern Africa","South Sudan",Unity,Leer,Koch,Leer,8.2936,30.1326,1,UNOCHA,Other,"Fighting reported in the areas of Fashoda and Leer - making the areas inaccessible to aid agencies.",0,1583194182,SSD
6974798,728,SSD1025,1025,"14 March 2014",2014,1,"Violence against civilians",Attack,"SPLM-In Opposition: Sudan People's Liberation Movement-In Opposition",,2,"Civilians (South Sudan)",,7,27,"Eastern Africa","South Sudan",Warrap,"Tonj South",Tonj,Tonj,7.2733,28.6839,1,"Gurtong Trust",Regional,"In the Lou Ariik area of Tonj North, opposition forces killed 7 people and stole cattle.",7,1583194171,SSD
6976591,728,SSD1022,1022,"14 March 2014",2014,2,Battles,"Armed clash","SPLM-In Opposition: Sudan People's Liberation Movement-In Opposition",,2,"Military Forces of South Sudan (2011-)",,1,12,"Eastern Africa","South Sudan","Upper Nile",Fashoda,Kodok,Kodok,9.888,32.117,1,UNOCHA,Other,"Fighting reported in the areas of Fashoda and Leer - making the areas inaccessible to aid agencies.",0,1583194182,SSD
6976145,728,SSD1021,1021,"14 March 2014",2014,1,Battles,"Armed clash","SPLM-In Opposition: Sudan People's Liberation Movement-In Opposition",,2,"Military Forces of South Sudan (2011-)",,1,12,"Eastern Africa","South Sudan",Jonglei,"Bor South",Bor,Bor,6.2089,31.5586,2,"Sudan Tribune",Regional,"Fighting in Mankien, Jonglei.",0,1583194179,SSD
