state,ea,hh,weight,hhweight,year,plinePPP,poor,tc_imp,wave,accesibility,night_lights,population
NORTHERN BAHR EL GHAZAL,7,6,58.39125824,175.1737671,2016,8.712560654,0,19.47511673,2,6.5,0.069028981,97.5
NORTHERN BAHR EL GHAZAL,7,7,58.39125824,1226.216431,2015,8.712560654,1,3.084337473,1,6.5,0.069028981,78
NORTHERN BAHR EL GHAZAL,7,7,58.39125824,583.9125977,2016,8.712560654,1,3.42909193,2,6.5,0.069028981,97.5
NORTHERN BAHR EL GHAZAL,7,8,58.39125824,642.303833,2015,8.712560654,0,8.500090599,1,6.5,0.069028981,78
NORTHERN BAHR EL GHAZAL,7,8,58.39125824,583.9125977,2016,8.712560654,1,3.85211134,2,6.5,0.069028981,97.5
NORTHERN BAHR EL GHAZAL,7,9,58.39125824,642.303833,2016,8.712560654,1,2.658318996,2,6.5,0.069028981,97.5
NORTHERN BAHR EL GHAZAL,7,9,58.39125824,642.303833,2015,8.712560654,1,1.869573355,1,6.5,0.069028981,78
NORTHERN BAHR EL GHAZAL,7,10,58.39125824,1051.042603,2016,8.712560654,1,1.663533092,2,6.5,0.069028981,97.5
NORTHERN BAHR EL GHAZAL,7,10,58.39125824,525.5213013,2015,8.712560654,1,5.460726261,1,6.5,0.069028981,78
NORTHERN BAHR EL GHAZAL,7,11,58.39125824,642.303833,2015,8.712560654,0,11.36947536,1,6.5,0.069028981,78
NORTHERN BAHR EL GHAZAL,7,11,58.39125824,875.8688965,2016,8.712560654,1,7.290814877,2,6.5,0.069028981,97.5
NORTHERN BAHR EL GHAZAL,7,12,58.39125824,408.7388,2016,8.712560654,1,6.750712872,2,6.5,0.069028981,97.5
NORTHERN BAHR EL GHAZAL,7,12,58.39125824,467.1300659,2015,8.712560654,0,9.014878273,1,6.5,0.069028981,78
NORTHERN BAHR EL GHAZAL,9,1,45.13543701,812.4378662,2015,8.712560654,1,3.282220602,1,7,0.084677562,116
NORTHERN BAHR EL GHAZAL,9,1,45.13543701,270.8126221,2016,8.712560654,1,6.235788822,2,7,0.086671658,134
NORTHERN BAHR EL GHAZAL,9,2,45.13543701,406.2189331,2015,8.712560654,0,14.5189743,1,7,0.084677562,116
NORTHERN BAHR EL GHAZAL,9,2,45.13543701,225.6771851,2016,8.712560654,0,15.71080589,2,7,0.086671658,134
NORTHERN BAHR EL GHAZAL,9,3,45.13543701,270.8126221,2016,8.712560654,0,9.083950996,2,7,0.086671658,134
NORTHERN BAHR EL GHAZAL,9,3,45.13543701,270.8126221,2015,8.712560654,0,9.885874748,1,7,0.084677562,116
NORTHERN BAHR EL GHAZAL,9,4,45.13543701,270.8126221,2015,8.712560654,0,33.91945267,1,7,0.084677562,116
NORTHERN BAHR EL GHAZAL,9,5,45.13543701,225.6771851,2016,8.712560654,0,8.533751488,2,7,0.086671658,134
NORTHERN BAHR EL GHAZAL,9,5,45.13543701,270.8126221,2015,8.712560654,0,8.403081894,1,7,0.084677562,116
NORTHERN BAHR EL GHAZAL,9,6,45.13543701,451.3543701,2015,8.712560654,1,2.780858517,1,7,0.084677562,116
NORTHERN BAHR EL GHAZAL,9,6,45.13543701,270.8126221,2016,8.712560654,1,5.454647064,2,7,0.086671658,134
NORTHERN BAHR EL GHAZAL,9,7,45.13543701,270.8126221,2015,8.712560654,1,7.114640236,1,7,0.084677562,116
NORTHERN BAHR EL GHAZAL,9,7,45.13543701,135.406311,2016,8.712560654,0,13.05366039,2,7,0.086671658,134
NORTHERN BAHR EL GHAZAL,9,8,45.13543701,406.2189331,2015,8.712560654,1,1.709317088,1,7,0.084677562,116
NORTHERN BAHR EL GHAZAL,9,8,45.13543701,677.0315552,2016,8.712560654,1,3.668185472,2,7,0.086671658,134
NORTHERN BAHR EL GHAZAL,9,9,45.13543701,361.0834961,2016,8.712560654,1,4.187367916,2,7,0.086671658,134
NORTHERN BAHR EL GHAZAL,9,9,45.13543701,541.6252441,2015,8.712560654,1,4.018412113,1,7,0.084677562,116
NORTHERN BAHR EL GHAZAL,9,10,45.13543701,270.8126221,2016,8.712560654,0,12.2412653,2,7,0.086671658,134
NORTHERN BAHR EL GHAZAL,9,10,45.13543701,180.541748,2015,8.712560654,0,15.66460609,1,7,0.084677562,116
NORTHERN BAHR EL GHAZAL,9,11,45.13543701,225.6771851,2016,8.712560654,0,10.1688261,2,7,0.086671658,134
NORTHERN BAHR EL GHAZAL,9,11,45.13543701,541.6252441,2015,8.712560654,1,6.701664925,1,7,0.084677562,116
NORTHERN BAHR EL GHAZAL,9,12,45.13543701,315.9480591,2015,8.712560654,0,14.20578003,1,7,0.084677562,116
NORTHERN BAHR EL GHAZAL,9,12,45.13543701,361.0834961,2016,8.712560654,0,8.477231979,2,7,0.086671658,134
NORTHERN BAHR EL GHAZAL,24,1,82.72094727,744.4885254,2015,8.712560654,0,10.92750263,1,6.5,0.082618848,116
NORTHERN BAHR EL GHAZAL,24,1,82.72094727,992.6513672,2016,8.712560654,1,3.814305067,2,6.5,0.082468517,139
NORTHERN BAHR EL GHAZAL,24,2,82.72094727,496.3256836,2015,8.712560654,0,11.99109459,1,6.5,0.082618848,116
NORTHERN BAHR EL GHAZAL,24,2,82.72094727,496.3256836,2016,8.712560654,0,27.25006294,2,6.5,0.082468517,139
NORTHERN BAHR EL GHAZAL,24,3,82.72094727,1075.372314,2015,8.712560654,1,6.069417477,1,6.5,0.082618848,116
NORTHERN BAHR EL GHAZAL,24,3,82.72094727,744.4885254,2016,8.712560654,1,6.282527447,2,6.5,0.082468517,139
NORTHERN BAHR EL GHAZAL,24,4,82.72094727,579.0466309,2015,8.712560654,1,2.820739746,1,6.5,0.082618848,116
NORTHERN BAHR EL GHAZAL,24,5,82.72094727,496.3256836,2016,8.712560654,1,5.371894836,2,6.5,0.082468517,139
NORTHERN BAHR EL GHAZAL,24,5,82.72094727,496.3256836,2015,8.712560654,0,16.44271088,1,6.5,0.082618848,116
NORTHERN BAHR EL GHAZAL,24,6,82.72094727,827.2094727,2015,8.712560654,0,19.6408596,1,6.5,0.082618848,116
NORTHERN BAHR EL GHAZAL,24,6,82.72094727,496.3256836,2016,8.712560654,0,23.73963356,2,6.5,0.082468517,139
NORTHERN BAHR EL GHAZAL,24,7,82.72094727,496.3256836,2016,8.712560654,0,23.10292625,2,6.5,0.082468517,139
NORTHERN BAHR EL GHAZAL,24,7,82.72094727,496.3256836,2015,8.712560654,1,7.85476923,1,6.5,0.082618848,116
NORTHERN BAHR EL GHAZAL,24,8,82.72094727,579.0466309,2016,8.712560654,0,18.54309464,2,6.5,0.082468517,139
NORTHERN BAHR EL GHAZAL,24,8,82.72094727,744.4885254,2015,8.712560654,0,11.11147213,1,6.5,0.082618848,116
NORTHERN BAHR EL GHAZAL,24,9,82.72094727,909.9304199,2016,8.712560654,0,10.66464329,2,6.5,0.082468517,139
