,county,state,year,population,pop_percent_change,fatalities,county_hospitals,intensity
241,Aweil North,Northern Bahr el Ghazal,2014,184654.0,0.05713388282950816,,,
242,Aweil South,Northern Bahr el Ghazal,2014,102639.0,0.04247897972505578,,,
243,Aweil West,Northern Bahr el Ghazal,2014,230777.0,0.03435351009849335,31.0,10.0,1.3432881093003202
244,Awerial,Lakes,2014,66441.0,0.039975316446170285,3.0,1.0,0.4515284237142728
245,Ayod,Jonglei,2014,196759.0,0.03954584034275433,312.0,5.0,15.856962070350022
246,Baliet,Upper Nile,2014,69782.0,0.05765097016422573,37.0,1.0,5.302226935312832
247,Bor South,Jonglei,2014,311976.0,0.040660178988127293,,,
248,Budi,Eastern Equatoria,2014,138097.0,0.0416808475202213,3.0,5.0,0.21723860764535075
249,Canal/Pigi,Jonglei,2014,138299.0,0.03014483112676158,,,
250,Cueibet,Lakes,2014,166065.0,0.040231234757474484,142.0,4.0,8.55086863577515
251,Duk,Jonglei,2014,92098.0,0.042867380399140044,76.0,3.0,8.252079306825339
252,Ezo,Western Equatoria,2014,109439.0,0.04785314193294895,1.0,6.0,0.09137510393918073
253,Fangak,Jonglei,2014,155636.0,0.04155208306561464,128.0,6.0,8.22431828111748
254,Fashoda,Upper Nile,2014,51465.0,0.04101816768677742,0.0,4.0,0.0
255,Gogrial East,Warrap,2014,140868.0,0.015553567879149275,,,
256,Gogrial West,Warrap,2014,343953.0,0.03839768805621698,8.0,8.0,0.2325899178085378
257,Guit,Unity,2014,48878.0,0.04636032570890789,43.0,1.0,8.79741396947502
258,Ibba,Western Equatoria,2014,58769.0,0.04109309329748677,,,
259,Ikotos,Eastern Equatoria,2014,120495.0,0.04082327067513175,,,
260,Juba,Central Equatoria,2014,638799.0,0.21362901319507388,104.0,31.0,1.6280551472372373
261,Jur River,Western Bahr el Ghazal,2014,180004.0,0.03951578853803249,206.0,5.0,11.444190129108241
262,Kajo-keji,Central Equatoria,2014,214827.0,-0.23880610910174233,,,
263,Kapoeta East,Eastern Equatoria,2014,257519.0,0.04162799638084957,,,
264,Kapoeta North,Eastern Equatoria,2014,143947.0,0.04054269974365565,,,
265,Kapoeta South,Eastern Equatoria,2014,112253.0,0.041148120762919474,23.0,3.0,2.0489430126589045
266,Koch,Unity,2014,106521.0,0.03383370415223289,0.0,3.0,0.0
267,Lafon,Eastern Equatoria,2014,148485.0,0.04148567195339597,,,
268,Lainya,Central Equatoria,2014,125702.0,0.03917200999188557,,,
269,Leer,Unity,2014,74599.0,0.042198957090577624,51.0,2.0,6.836552768803871
270,Longochuk,Upper Nile,2014,90756.0,0.035909471550090354,70.0,4.0,7.7129886729252055
271,Luakpiny/Nasir,Upper Nile,2014,296148.0,0.03761295028161595,156.0,5.0,5.267636452044248
272,Maban,Upper Nile,2014,61988.0,0.056398012518551977,62.0,2.0,10.001935858553269
273,Magwi,Eastern Equatoria,2014,237224.0,0.0423818837891613,0.0,16.0,0.0
274,Maiwut,Upper Nile,2014,113831.0,0.04586624030360798,3.0,3.0,0.2635485939682512
275,Malakal,Upper Nile,2014,178423.0,0.040269471985114026,207.0,14.0,11.60164328589924
276,Manyo,Upper Nile,2014,46429.0,-0.05778715888776411,35.0,4.0,7.538391953305046
277,Maridi,Western Equatoria,2014,116108.0,0.041263306576635544,13.0,6.0,1.1196472249974163
278,Mayendit,Unity,2014,72832.0,0.04344244288224956,5.0,3.0,0.686511423550088
279,Mayom,Unity,2014,174058.0,0.06353054728883475,270.0,3.0,15.512070689080652
280,Melut,Upper Nile,2014,69026.0,0.036725291918987046,91.0,2.0,13.183438124764582
281,Morobo,Central Equatoria,2014,102475.0,-0.3308221517443279,,,
282,Mundri East,Western Equatoria,2014,68207.0,0.04210711510548781,,,
283,Mundri West,Western Equatoria,2014,47546.0,0.04259033357169899,17.0,2.0,3.5754847936734953
284,Mvolo,Western Equatoria,2014,68226.0,0.04637528215049981,3.0,2.0,0.4397150646381145
