,County,State,Year,Population,Pop_percent_change,Fatalities,intensity
339,Kapoeta North,Eastern Equatoria,2015,146527.0,0.017607676400936346,7.0,0.4777276542889707
340,Kapoeta South,Eastern Equatoria,2015,109765.0,-0.022666605930852277,0.0,0.0
341,Koch,Unity,2015,115691.0,0.07926286400843627,125.0,10.80464340354911
342,Lafon,Eastern Equatoria,2015,86583.0,-0.7149440421329822,3.0,0.3464883406673365
343,Lainya,Central Equatoria,2015,132662.0,0.05246415703064932,35.0,2.6382837587251813
344,Leer,Unity,2015,79520.0,0.06188380281690141,492.0,61.87122736418511
345,Longochuk,Upper Nile,2015,162036.0,0.4399022439457898,0.0,0.0
346,Luakpiny/Nasir,Upper Nile,2015,283397.0,-0.044993419125819965,29.0,1.0232994703543086
347,Maban,Upper Nile,2015,63719.0,0.027166151383417818,38.0,5.963684301385772
348,Magwi,Eastern Equatoria,2015,245674.0,0.03439517409249656,20.0,0.8140869607691493
349,Maiwut,Upper Nile,2015,120843.0,0.0580257027713645,0.0,0.0
350,Malakal,Upper Nile,2015,182700.0,0.023409961685823755,203.0,11.11111111111111
351,Manyo,Upper Nile,2015,52618.0,0.1176213463073473,88.0,16.724314873237297
352,Maridi,Western Equatoria,2015,116347.0,0.002054199936397157,53.0,4.555338771089929
353,Mayendit,Unity,2015,91282.0,0.20212090006792138,133.0,14.570232904625227
354,Mayom,Unity,2015,185773.0,0.063060832306094,81.0,4.360159980190878
355,Melut,Upper Nile,2015,73620.0,0.062401521325726704,62.0,8.421624558543874
356,Morobo,Central Equatoria,2015,136413.0,0.24878860519158733,6.0,0.4398407776384949
357,Mundri East,Western Equatoria,2015,85452.0,0.20180920282731826,14.0,1.6383466741562513
358,Mundri West,Western Equatoria,2015,61436.0,0.2260889380819064,90.0,14.64939123640862
359,Mvolo,Western Equatoria,2015,73196.0,0.06789988523963059,0.0,0.0
360,Nagero,Western Equatoria,2015,15405.0,0.08510223953261928,0.0,0.0
361,Nyirol,Jonglei,2015,168797.0,0.08913665527230934,28.0,1.6587972535056903
362,Nzara,Western Equatoria,2015,99151.0,0.06818892396445825,13.0,1.3111315064901008
363,Panyijiar,Unity,2015,74465.0,0.04001880077888941,32.0,4.297320889008259
364,Panyikang,Upper Nile,2015,33193.0,-0.8990751061970897,24.0,7.230440153044317
365,Pariang,Unity,2015,117272.0,0.012048911931236783,139.0,11.852786683948429
366,Pibor,Jonglei,2015,219406.0,0.04473897705623365,5.0,0.22788802494006546
367,Pochalla,Jonglei,2015,94153.0,0.006893035803426338,13.0,1.3807313627818552
368,Raga,Western Bahr el Ghazal,2015,70514.0,0.06848285446861616,31.0,4.396290098420172
369,Renk,Upper Nile,2015,204853.0,0.058251526704514944,35.0,1.7085422229598786
370,Rubkona,Unity,2015,158885.0,0.10985303836107876,116.0,7.300877993517324
371,Rumbek Centre,Lakes,2015,330992.0,0.3475310581524629,317.0,9.577270749746218
372,Rumbek East,Lakes,2015,105757.0,-0.6034399614209934,72.0,6.808059986572992
373,Rumbek North,Lakes,2015,56847.0,-0.0739001178602213,7.0,1.2313754463735993
374,Tambura,Western Equatoria,2015,78384.0,0.03361655439885691,0.0,0.0
375,Terekeka,Central Equatoria,2015,195018.0,0.037596529551118356,11.0,0.5640504979027577
376,Tonj East,Warrap,2015,179737.0,0.08684911843415657,90.0,5.007316245403006
377,Tonj North,Warrap,2015,247388.0,0.04558830662764564,65.0,2.627451614467961
378,Tonj South,Warrap,2015,121827.0,-0.009373948303742191,6.0,0.4925016621931099
379,Torit,Eastern Equatoria,2015,152296.0,0.07655486683826233,41.0,2.692125860167043
380,Twic,Warrap,2015,298720.0,0.043134038564542045,5.0,0.16738082485270486
381,Twic East,Jonglei,2015,117806.0,-0.017172300222399538,53.0,4.498921956436853
382,Ulang,Upper Nile,2015,120030.0,-0.006814962925935183,0.0,0.0
383,Uror,Jonglei,2015,264325.0,0.04829282133736877,0.0,0.0
384,Wau,Western Bahr el Ghazal,2015,249343.0,0.14271505516497354,80.0,3.208431758661763
385,Wulu,Lakes,2015,68055.0,0.13261332745573434,1.0,0.14693997502020426
386,Yambio,Western Equatoria,2015,209825.0,-0.02305254378648874,40.0,1.9063505302037411
387,Yei,Central Equatoria,2015,294972.0,0.05752410398275091,4.0,0.13560609142562682
388,Yirol East,Lakes,2015,117978.0,0.20408889793012255,0.0,0.0
389,Yirol West,Lakes,2015,100953.0,-0.46549384366982655,35.0,3.466959872415877
