data_id,iso,event_id_cnty,event_id_no_cnty,event_date,year,time_precision,event_type,sub_event_type,actor1,assoc_actor_1,inter1,actor2,assoc_actor_2,inter2,interaction,region,country,admin1,admin2,admin3,location,latitude,longitude,geo_precision,source,source_scale,notes,fatalities,timestamp,iso3
6729815,729,SUD8017,8017,7-May-15,2015,1,Battles,Armed clash,SPLM-N: Sudan Peoples Liberation Movement (North),,2,Military Forces of Sudan (1989-2019),,1,12,Northern Africa,Sudan,Blue Nile,Bau,,Kilgo,11.5019,34.1501,1,Radio Dabanga; Radio Tamazuj,National,"Clashes between military, SAF and SPLM-N in Kilgo, Blue Nile state. Dozens of soldiers and one rebel killed in clashes in Bagis and Kilgo (7 fatalities coded for Kilgo, 6 for Bagis).",7,1579554676,SDN
6728053,729,SUD8012,8012,7-May-15,2015,1,Explosions/Remote violence,Air/drone strike,Military Forces of Sudan (1989-2019),,1,,,0,10,Northern Africa,Sudan,North Darfur,Kebkabiya,,Kaguro,13.4512,24.3971,1,Radio Dabanga,National,SAF bomb Kaguro. No human casualties reported.,0,1579554670,SDN
6730105,729,SUD8019,8019,7-May-15,2015,1,Battles,Armed clash,SLA: Sudan Liberation Army,,2,Military Forces of Sudan (1989-2019),,1,12,Northern Africa,Sudan,Central Darfur,Zalingei,,Zalingei,12.9,23.4811,3,UNAMID,Other,"SDF and SLA forces clash near Rockero, Central Darfur. Six fatalities, one injury.",6,1579554677,SDN
6305929,728,SSD1964,1964,7-May-15,2015,1,Violence against civilians,Attack,Police Forces of South Sudan (2011-),,1,Civilians (Sudan),Refugees/IDPs (Sudan),7,17,Eastern Africa,South Sudan,Upper Nile,Maban,Renk,Yusuf Batil,10.04,33.58,1,Radio Tamazuj,Regional,"Police abducted a Sudanese refugee in front of the mosque in Yusuf Batil camp in Upper Nile, South Sudan, tortured him and kept him detained in a container without ventilation in Bunj. The man later died.",1,1572403774,SSD
5835669,729,SUD8018,8018,7-May-15,2015,1,Protests,Peaceful protest,Protesters (Sudan),Health Workers (Sudan),6,,,0,60,Northern Africa,Sudan,White Nile,Kosti,,Kosti,13.1485,32.6675,1,Radio Tamazuj,National,Strike:Doctors go on strike at Kosti Hopsital over lack of medical equipment.,0,1567462239,SDN
6249112,728,SSD1962,1962,7-May-15,2015,1,Violence against civilians,Attack,Military Forces of South Sudan (2011-),Militia (Pro-Government),1,Civilians (South Sudan),,7,17,Eastern Africa,South Sudan,Unity,Rubkona,Rubkoana,Bentiu,9.2525,29.7883,2,Amnesty International,Other,"Soldiers and militia attack Chatchara village near Bentiu, beating civilians with sticks and metal rods. Several civilians killed and abducted.",19,1572403696,SSD
6732752,729,SUD8013,8013,7-May-15,2015,1,Violence against civilians,Attack,Police Forces of Sudan (1989-2019) National Intelligence and Security Services,,1,Civilians (Sudan),Darfur Communal Group (Sudan); Students (Sudan),7,17,Northern Africa,Sudan,Khartoum,Khartoum,,Khartoum,15.5725,32.5364,2,Radio Dabanga,National,Security agents detain Darfuri students in Khartoum and assualted them in El Sunut forest.,0,1579554686,SDN
5824509,729,SUD8015,8015,7-May-15,2015,1,Violence against civilians,Attack,Unidentified Armed Group (Sudan),,3,Civilians (Sudan),,7,37,Northern Africa,Sudan,South Darfur,Marshang,,Um Liona,12.53,24.3882,1,Radio Dabanga,National,Militia attacked Um Liona and shot a man dead. 1 injured.,1,1567462225,SDN
5826616,729,SUD8007,8007,6-May-15,2015,1,Violence against civilians,Sexual violence,Unidentified Armed Group (Sudan),,3,Civilians (Sudan),Women (Sudan),7,37,Northern Africa,Sudan,West Darfur,Sirba,,Sirba,13.8057,22.5067,2,Radio Dabanga,National,5 militiamen in military uniforms raped a girl near Abu El Rish near Sirba.,0,1567462227,SDN
6868037,729,SUD8008,8008,6-May-15,2015,1,Violence against civilians,Attack,Abala Ethnic Militia (Sudan),Militia (Pro-Government),4,Civilians (Sudan),,7,47,Northern Africa,Sudan,North Darfur,Dar El Salam,,Hemeda,13.1386,25.021,2,Radio Dabanga,National,"Abala militia armed by the government assualted civilians in Hemeda, Dalma and Shurfa in East Jebel Marra.",0,1581982137,SDN
6728035,729,SUD8003,8003,6-May-15,2015,1,Explosions/Remote violence,Shelling/artillery/missile attack,Military Forces of Sudan (1989-2019),,1,,,0,10,Northern Africa,Sudan,Khartoum,Khartoum,,Khartoum,15.5725,32.5364,2,AFP,International,"SAF opened fire on Wadi Sayidna near Khartoum, reportedly to target a photo surveillance aircraft. No casualties.",0,1579554670,SDN
5826922,729,SUD8006,8006,6-May-15,2015,1,Violence against civilians,Attack,Unidentified Armed Group (Sudan),,3,Civilians (Sudan),,7,37,Northern Africa,Sudan,South Darfur,Bielel,,Bielel,11.9926,25.036,1,Radio Dabanga,National,"Militiamen shot a man and his son (the father died) in Mirair, Bielel locality.",1,1567462228,SDN
6975861,728,SSD1958,1958,6-May-15,2015,1,Battles,Armed clash,Military Forces of South Sudan (2011-),,1,SPLM-In Opposition: Sudan People's Liberation Movement-In Opposition,,2,12,Eastern Africa,South Sudan,Unity,Rubkona,Rubkoana,Bentiu,9.2525,29.7883,3,South Sudan News Agency,National,Clashes between military and SPLA/M-IO in Panakuach in northern Unity State (captial Bentiu coordinates used).,0,1583194176,SSD
6975875,728,SSD1959,1959,6-May-15,2015,1,Battles,Armed clash,Military Forces of South Sudan (2011-),,1,SPLM-In Opposition: Sudan People's Liberation Movement-In Opposition,,2,12,Eastern Africa,South Sudan,Unity,Pariang,Awet-adet,Pariang,9.9123,29.9814,2,South Sudan News Agency,National,"Clashes between military and SPLA/M-IO in Tom South payam, Pariang County.",0,1583194176,SSD
6305671,728,SSD1960,1960,6-May-15,2015,1,Violence against civilians,Attack,Unidentified Armed Group (South Sudan),,3,Civilians (South Sudan),,7,37,Eastern Africa,South Sudan,Lakes,Rumbek Centre,Kuei,Rumbek,6.819,29.7,1,Radio Tamazuj,Regional,Unknown gunmen kills civilian in Rumbek.,1,1572403774,SSD
5826706,729,SUD8005,8005,6-May-15,2015,1,Violence against civilians,Attack,Militia (Pro-Government),,3,Civilians (Sudan),,7,37,Northern Africa,Sudan,South Darfur,Marshang,,Niteaga,12.5222,25.2111,2,Radio Dabanga,National,Pro-government militia shot a man dead in area west of Niteaga.,1,1567462227,SDN
5835185,729,SUD8010,8010,6-May-15,2015,1,Violence against civilians,Attack,Unidentified Armed Group (Sudan),,3,Civilians (Sudan),Misseriya Ethnic Group (Sudan); Women (Sudan),7,37,Northern Africa,Sudan,South Kordofan,Talodi,,Meriam,10.1417,30.7082,1,Radio Tamazuj,National,Woman and son from Fayarin clan of Misseriya tribe were killed by unknown group in Donki Al Binjabir village near meriam,2,1567462238,SDN
6728632,729,SUD8004,8004,6-May-15,2015,1,Explosions/Remote violence,Air/drone strike,Military Forces of Sudan (1989-2019),,1,Civilians (Sudan),,7,17,Northern Africa,Sudan,South Kordofan,Dilling,,El Fangalo,11.4177,29.9954,1,Radio Dabanga,National,Mother and child killed in aerial bombardment of Fanga.,2,1579554672,SDN
4855485,729,SUD8011,8011,6-May-15,2015,1,Strategic developments,Change to group/activity,JEM: Justice and Equality Movement,,2,,,0,20,Northern Africa,Sudan,Khartoum,Khartoum,,Khartoum,15.5725,32.5364,3,Sudan Vision,National,Change to armed group: JEM sub-group led by Jobril Ibrahim announce defection from JEM.,0,1552577383,SDN
6868162,729,SUD8009,8009,6-May-15,2015,1,Violence against civilians,Abduction/forced disappearance,Misseriya Ethnic Militia (South Sudan),,4,Civilians (South Sudan),Dinka Ngok Ethnic Group (South Sudan); Women (South Sudan),7,47,Northern Africa,Sudan,Abyei PCA Area,Abyei PCA Area,,Abyei,9.595,28.435,1,Radio Tamazuj,National,Misseriya militia abducted three Dinka Ngok women in Abyei while they were collecting firewood. The women were taken to an area called Maker to show where Misseriya could find cattle belonging to Dinka Ngok. Women were released later that day.,0,1581982138,SDN
6304452,728,SSD1957,1957,6-May-15,2015,1,Battles,Armed clash,Unidentified Armed Group (South Sudan),,3,Police Forces of South Sudan (2011-),,1,13,Eastern Africa,South Sudan,Lakes,Rumbek Centre,Kuei,Rumbek,6.819,29.7,1,Radio Tamazuj,Regional,Unknown gunmen kills policeman in Rumbek.,1,1572403772,SSD
6305864,728,SSD1956,1956,5-May-15,2015,1,Explosions/Remote violence,Grenade,Military Forces of South Sudan (2011-),,1,Civilians (South Sudan),,7,17,Eastern Africa,South Sudan,Warrap,Gogrial West,Gogrial,Agok,8.5544,27.9393,1,Radio Tamazuj,Regional,"At least 2 killed, 8 wounded at Agok market when soldier denotated a hand grenade.",2,1572403774,SSD
6975859,728,SSD1955,1955,5-May-15,2015,1,Battles,Armed clash,Military Forces of South Sudan (2011-),,1,SPLM-In Opposition: Sudan People's Liberation Movement-In Opposition,,2,12,Eastern Africa,South Sudan,Unity,Guit,Rubkoana,Gwit,9.12,29.91,2,South Sudan News Agency,National,Clashes between military and SPLA/M-IO in Gwit County.,0,1583194176,SSD
6314684,729,SUD8002,8002,5-May-15,2015,1,Battles,Armed clash,Tandal Communal Militia (Sudan),,4,Unidentified Armed Group (Sudan),,3,34,Northern Africa,Sudan,Central Darfur,Mukjar,,Kalamhasina,11.8986,23.0265,1,UNAMID,Other,"Tamar militia clashes with an unknown actor, reasons unknown in Kalamhasina. One fatality reported.",1,1572403785,SDN
6731712,729,SUD8000,8000,5-May-15,2015,1,Violence against civilians,Attack,Military Forces of Sudan (1989-2019),Militia (Pro-Government),1,Civilians (Sudan),,7,17,Northern Africa,Sudan,South Kordofan,Kadugli,,Shat Damam,10.8377,29.7449,2,Radio Dabanga,National,"Military and pro-government militia attack villages of Shat Damam, Trawi, Mazariq, and Hajar Dabib. 3 civilians killed. 40 abducted.",3,1579554683,SDN
6729955,729,SUD8001,8001,5-May-15,2015,1,Strategic developments,Disrupted weapons use,Military Forces of Sudan (1989-2019),,1,Military Forces of Israel (2009-),,8,18,Northern Africa,Sudan,Khartoum,Umm Badda,,Omdurman,15.6447,32.4549,2,Haaretz (Israel); Radio Tamazuj,National-International,"SAF opened fire and brought down a suspected Israeli drone carrying 2 missiles at 11pm May 5, in Kereri area north of Omdurman.",0,1579554677,SDN
6314502,729,SUD7998,7998,4-May-15,2015,1,Violence against civilians,Attack,Unidentified Armed Group (Sudan),,3,Civilians (Sudan),,7,37,Northern Africa,Sudan,North Darfur,El Fasher,,El Fasher,13.6264,25.3559,3,UNAMID,Other,"Attack at Kassab IDP camp in Narth Darfur by unknown persons, one injury reported.",0,1572403785,SDN
6024036,729,SUD7993,7993,4-May-15,2015,1,Violence against civilians,Sexual violence,Militia (Pro-Government),,3,Civilians (Sudan),Refugees/IDPs (Sudan); Women (Sudan),7,37,Northern Africa,Sudan,North Darfur,Dar El Salam,,Shangil Tobay,13.0597,25.1894,2,Radio Dabanga,National,Pro-government militia rape a girl near Shangil Tobay.,0,1571091924,SDN
5835961,729,SUD7996,7996,4-May-15,2015,2,Strategic developments,Change to group/activity,Military Forces of South Sudan (2011-),,8,,,0,80,Northern Africa,Sudan,South Darfur,Nyala,,Nyala,12.0556,24.8906,2,Radio Tamazuj,National,"Movement of forces: South Sudan forces reportedly withdraw from Samaha area between Sudan and South Sudan following an April 26 battle in Goz Dango near Tullus (South Darfur), between SLM/A-Minawi faction / JEM vs. Sudanese military / RSF. South Sudan denies reports that it were ever stationed in Samaha.",0,1567462239,SDN
6733758,729,SUD7994,7994,4-May-15,2015,1,Violence against civilians,Sexual violence,Military Forces of Sudan (1989-2019) Rapid Support Forces,,1,Civilians (Sudan),Women (Sudan),7,17,Northern Africa,Sudan,South Darfur,Sharg Jabel Marra,,Deribat,13.071,24.5151,2,Radio Dabanga,National,RSF raped 2 women in Kuro north of Deribat.,0,1579554690,SDN
6304721,728,SSD1954,1954,4-May-15,2015,2,Battles,Armed clash,Unidentified Armed Group (South Sudan),,3,Police Forces of South Sudan (2011-),Military Forces of South Sudan (2011-),1,13,Eastern Africa,South Sudan,Central Equatoria,Morobo,Morobo,Bari,3.69,30.67,2,Radio Tamazuj,Regional,"Clash between police/military vs. cattle raiders between Kotobi and Bari, 7 miles from Mundri. 5 killed, including a soldier.",5,1572403773,SSD
5827816,729,SUD7995,7995,4-May-15,2015,1,Violence against civilians,Attack,Unidentified Armed Group (Sudan),,3,Civilians (Sudan),,7,37,Northern Africa,Sudan,Central Darfur,Mukjar,,Bindisi,11.9397,23.075,2,Radio Dabanga,National,Gunmen kill 1 man in Kalam Basanan west of Bindisi.,1,1567462229,SDN
5200106,729,SUD7997,7997,4-May-15,2015,1,Protests,Peaceful protest,Protesters (Sudan),Students (Sudan); Darfur Communal Group (Sudan); Women (Sudan),6,,,0,60,Northern Africa,Sudan,Khartoum,Khartoum North,,Khartoum North,15.6365,32.5303,1,Sudan Tribune,National,Darfuri female students protest against what they claim to be deliberate torching of their dorm residences at University of Bahri in Khartoum. Police claim the fire was electrical fault.,0,1559160526,SDN
6304731,728,SSD1953,1953,3-May-15,2015,1,Violence against civilians,Attack,Unidentified Armed Group (South Sudan),,3,Civilians (South Sudan),,7,37,Eastern Africa,South Sudan,Lakes,Rumbek East,Alamtoch East,Maluell,6.51,29.91,1,Radio Tamazuj,Regional,Cattle radiers from Tonj East crossed into Lakes state and attacked Maluell village. At least 5 killed.,5,1572403773,SSD
5825029,729,SUD7990,7990,2-May-15,2015,1,Violence against civilians,Attack,Unidentified Armed Group (Sudan),,3,Civilians (Sudan),,7,37,Northern Africa,Sudan,North Darfur,Ailliet,,El Lait,11.9576,27.0441,1,Radio Dabanga,National,Nine gunmen attacked villagers in Ailliet locality. 1 killed 2 wounded.,1,1567462226,SDN
6733582,729,SUD7992,7992,2-May-15,2015,1,Battles,Armed clash,Military Forces of Sudan (1989-2019),Military Forces of Sudan (1989-2019) Rapid Support Forces,1,SLM/A-Minnawi: Sudan Liberation Movement/Army (Minnawi Faction),SLM/A: Sudan Liberation Movement/Army,2,12,Northern Africa,Sudan,North Darfur,Kutum,,Kutum,14.2065,24.6499,2,Xinhua; Radio Dabanga; Sudan Tribune,National-International,"Clashes between military/RSF and SLM/A-Minnawi and an allied SLM faction in Khor Salman and Jumeiza, 30km southwest of Kutum. 60 soldiers and 4 rebels killed, 9 injured.",64,1579554689,SDN
